id,year,award,prefix,name,gender,place,state,stateClass,indiaClass,area,areaClass
491,1966,Padma Bhushan,Shri,Zubin,Male,Canada,Foreign countries,foreign-countries,foreign,Arts,arts
3453,2009,Padma Shri,Ms.,Devayani,Female,France,Foreign countries,foreign-countries,foreign,Arts,arts
1097,1972,Padma Shri,Shri,Krishna,Male,France,Foreign countries,foreign-countries,foreign,Arts,arts
4304,2016,Padma Shri,Shri,Michel,Male,France,Foreign countries,foreign-countries,foreign,Arts,arts
4304,2017,Padma Shri,Shri,Michel,Male,France,Foreign countries,foreign-countries,foreign,Arts,arts
1664,1983,Padma Shri,Shri,Raghubir,Male,France,Foreign countries,foreign-countries,foreign,Arts,arts
1549,1981,Padma Shri,Shri,Sayed Haider Raza,Male,France,Foreign countries,foreign-countries,foreign,Arts,arts
3178,2007,Padma Bhushan,Shri,Syed Haider Raza,Male,France,Foreign countries,foreign-countries,foreign,Arts,arts
1232,1974,Padma Bhushan,Dr. (Mrs.),Alice Boner,Female,Italy,Foreign countries,foreign-countries,foreign,Arts,arts
3333,2008,Padma Shri,Mr.,Gennadi Mikhailovich Pechnikov,Male,Russia,Foreign countries,foreign-countries,foreign,Arts,arts
259,1961,Padma Bhushan,Shri,Svetoslav,Male,Russia,Foreign countries,foreign-countries,foreign,Arts,arts
2746,2002,Padma Shri,Shri,Wannakuwattawaduge Don Amardeva,Male,Sri Lanka,Foreign countries,foreign-countries,foreign,Arts,arts
3787,2012,Padma Bhushan,Shri,Anish Kapoor,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
1716,1984,Padma Shri,Shri,Ben Kingsley,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
1901,1987,Padma Shri,Shri,Naresh,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
1639,1983,Padma Shri,Miss,Pamela,Female,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
3337,2008,Padma Shri,Pandit,Pratap,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
1619,1983,Padma Bhushan,Sir,Richard Samuel Attenborough,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
4312,2016,Padma Shri,Shri,Saeed,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
4312,2017,Padma Shri,Shri,Saeed,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
3769,2012,Padma Vibhushan,Dr.,Bhupendra Kumar Hazarika,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
3334,2008,Padma Shri,Mr.,Manoj Night Shyamalan,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
3441,2009,Padma Shri,Dr.,Pratapaditya,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
2740,2002,Padma Shri,Shri,Rajan,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
2407,1999,Bharat Ratna,Pandit,Ravi,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
3800,2012,Padma Bhushan,Shri,Sunil,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
4216,2015,Padma Shri,Smt.,Tripti,Female,USA,Foreign countries,foreign-countries,foreign,Arts,arts
1947,1988,Padma Shri,Shri,Zakir,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
2560,2001,Padma Vibhushan,Shri,Zubin,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
1275,1974,Padma Shri,Shri,Baldev Raj Chopra,Male,Afghanistan,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
566,1967,Padma Shri,Shri,Frank Sathyarajan Dewars,Male,Burma,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
1333,1975,Padma Shri,Brig.,Pessie,Male,Burma,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
1701,1984,Padma Shri,Dr.,Satya Pal Jagota,Male,Canada,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
642,1968,Padma Shri,Shri,Jehangir Shapurji Bhownagary,Male,France,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
1036,1972,Padma Bhushan,Shri,Chandrika Prasad Srivastava,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
377,1963,Padma Shri,Shri,Sisir Kumar Lahiri,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
1588,1982,Padma Shri,Shri,Palligarnai Thirumalai Venugopal,Male,USA,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
