id,year,gender,place,state,stateClass,indiaClass,area,areaClass
491,1966,Male,Canada,Foreign countries,foreign-countries,foreign,Arts,arts
3453,2009,Female,France,Foreign countries,foreign-countries,foreign,Arts,arts
1097,1972,Male,France,Foreign countries,foreign-countries,foreign,Arts,arts
4304,2016,Male,France,Foreign countries,foreign-countries,foreign,Arts,arts
4304,2017,Male,France,Foreign countries,foreign-countries,foreign,Arts,arts
1664,1983,Male,France,Foreign countries,foreign-countries,foreign,Arts,arts
1549,1981,Male,France,Foreign countries,foreign-countries,foreign,Arts,arts
3178,2007,Male,France,Foreign countries,foreign-countries,foreign,Arts,arts
1232,1974,Female,Italy,Foreign countries,foreign-countries,foreign,Arts,arts
3333,2008,Male,Russia,Foreign countries,foreign-countries,foreign,Arts,arts
259,1961,Male,Russia,Foreign countries,foreign-countries,foreign,Arts,arts
2746,2002,Male,Sri Lanka,Foreign countries,foreign-countries,foreign,Arts,arts
3787,2012,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
1716,1984,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
1901,1987,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
1639,1983,Female,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
3337,2008,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
1619,1983,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
4312,2016,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
4312,2017,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Arts,arts
3769,2012,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
3334,2008,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
3441,2009,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
2740,2002,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
2407,1999,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
3800,2012,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
4216,2015,Female,USA,Foreign countries,foreign-countries,foreign,Arts,arts
1947,1988,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
2560,2001,Male,USA,Foreign countries,foreign-countries,foreign,Arts,arts
1275,1974,Male,Afghanistan,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
566,1967,Male,Burma,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
1333,1975,Male,Burma,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
1701,1984,Male,Canada,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
642,1968,Male,France,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
1036,1972,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
377,1963,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
1588,1982,Male,USA,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
64,1955,Male,USA,Foreign countries,foreign-countries,foreign,Civil Service,civil-service
4002,2014,Male,Bangladesh,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
1234,1974,Male,Belgium,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4172,2015,Male,China,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3287,2008,Male,China,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3042,2006,Male,Czechoslovakia,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3459,2009,Male,Foreigner,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4187,2015,Male,France,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4163,2015,Female,Germany,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2902,2004,Male,Germany,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3604,2010,Male,Germany,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3107,2006,Male,Germany,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
